her alarm goes off,闹钟响了
adobe,泥砖
adorn,装饰
beads,珠子
adjunct,附加物
adjacent,临近的
adhesive,带粘性的
acoustic,听觉的
ardent,热心的
abrasion,表面磨损
keey abreast of,与..齐头并进
abolition,废除n(abolish动词)
airborn,空气传播的
agreeable,愉快的，同意的
agressive,说出其family
aerobic,有氧运动
accomplished,多才的
avocado,暗黄色的，牛油果
alchemist,炼金术师
vigilant,=alert
alga,=seaweed海藻
algae,pl of alga
alkali,碱
alkaline,adj of alkali
allegory(syn),寓言=fable=parable
fable,寓言
parable,寓言
allergy,过敏症
allergic,adj of allergy
alleviate(syn),减轻=relieve
synonym,同义词
allocation(syn),apportion分配
alternate(syn),rotate轮流的
aluminum,铝
alumnus,男校友
alumni,pl of alumnus
amass(syn),=accumulate
amino,氨基的
amino acid,氨基酸
amusia,健忘症
ample,trample，amble
amplify(fam),amplification;amplifier
amusement(syn),recreation;entertainment
anatomy(syn),dissection解剖
ancestor,祖先forefather
ancient(syn),archaic
animation,动画制作
announce(syn),herald
anthropology,人类学
antibiotic,抗生素+s
antique(fam),antiquated;antiquity
appetite,胃口=savor
applicability,适用性
appropriate,vt;拨款占用=engross
approve(syn),ratify批准;assent赞成
proximity,接近临近
aquarium,水族馆
aquatic,水生的
archaeology,考古学
arid,干旱贫瘠的=dry;barren
articulate,有关键的；清楚地说vt
artifact,人工制品
artificial(syn),synthetic
artizan,工匠
assign(syn),prescribe;apportion
associate,关联、结交consort、副的、大专学位、准的（注意读音）
consort,鬼混
